tf	tg
Ikzf4	Nefh
Ikzf4	Slc25a14
Ikzf4	Sp4
Ikzf4	Stom
Ikzf4	Syt11
Ikzf4	Terf2
Ikzf4	Zcchc18
Ikzf4	Zfp329
Ikzf4	2810021J22Rik
Ikzf4	4832406H04Rik
Ikzf4	Bhlhb9
Ikzf4	Hsdl1
Ikzf4	Mcart6
Ikzf4	Srsf12
Ikzf4	Zfp512
Ilf3	Ssrp1
Ing2	Mdm1
Ing2	Tex9
Ing2	Cenpj
Ing2	Phf16
Ing2	Zcchc2
Irf2	AW112010
Irf2	Aim1
Irf2	Enah
Irf2	Fam169a
Irf2	H2afy2
Irf2	Hdac6
Irf2	Irf7
Irf2	Lgals9
Irf2	Mboat2
Irf2	Peg3
Irf2	Psmb10
Irf2	Smarca1
Irf2	Syt9
Irf2	Zbp1
Irf2	4930420K17Rik
Irf2	Arxes1
Irf2	Dcaf12l1
Irf2	Eid2
Irf2	Gsdmd
Irf2	Ngfrap1
Irf2	Trim14
Irf2	Wdr35
Irf2	Wnk3-ps
Irf2	Zdbf2
Irf3	B3galnt1
Irf3	Enah
Irf3	Klhl7
Irf3	Maged1
Irf3	Nbea
Irf3	Ndn
Irf3	Ndrg4
Irf3	Sgtb
Irf3	Stau2
Irf3	Zfp276
Irf3	Etv1
Irf3	Fbxl16
Irf3	Trim14
Irf3	Tshz3
Irf7	AW112010
Irf7	Acp5
Irf7	Aim1
Irf7	Arl3
Irf7	Bcl3
Irf7	Enah
Irf7	H2afy2
Irf7	Irf2
Irf7	Lgals9
Irf7	Mboat2
Irf7	Pfn2
Irf7	Psmb10
Irf7	Smarca1
Irf7	Zbp1
Irf7	Zfp354c
Irf7	1500011H22Rik
Irf7	Gsdmd
Irf7	Mum1l1
Irf7	Trim14
Irf7	Wdr35
Irf7	Wnk3-ps
Isl1	2210010C04Rik
Isl1	5330417C22Rik
Isl1	A530058N18Rik
Isl1	Abcc8
Isl1	Adam22
Isl1	Adra2a
Isl1	Aff2
Isl1	Ampd2
Isl1	Aplp1
Isl1	Atp6ap2
Isl1	Bace2
Isl1	Baiap3
Isl1	Bex2
Isl1	Bhlha15
Isl1	Bicd1
Isl1	Cadps
Isl1	Car10
Isl1	Cartpt
Isl1	Cdh8
Isl1	Cdhr1
Isl1	Cel
Isl1	Cela2a
Isl1	Cela3b
Isl1	Celf4
Isl1	Celsr3
Isl1	Chga
Isl1	Chgb
Isl1	Chic1
Isl1	Clps
Isl1	Cnpy2
Isl1	Cntn1
Isl1	Cntnap2
Isl1	Cpa1
Isl1	Cpa2
Isl1	Cpb1
Isl1	Cplx2
Isl1	Cryba2
Isl1	Ctrb1
Isl1	Ctrc
Isl1	Ctrl
Isl1	Ddc
Isl1	Dpp6
Isl1	E330009J07Rik
Isl1	Elavl4
Isl1	Eml5
Isl1	Ero1lb
Isl1	Fev
Isl1	Ffar2
Isl1	Fgf12
Isl1	Fkbp1b
Isl1	Fmn2
Isl1	Fzd3
Isl1	G6pc2
Isl1	Gal
Isl1	Galr1
Isl1	Gcg
Isl1	Gdap1
Isl1	Gdap1l1
Isl1	Gfra3
Isl1	Gjd2
Isl1	Glp1r
Isl1	Glrb
Isl1	Gnat2
Isl1	Gnaz
Isl1	Gng4
Isl1	Gp2
Isl1	Hap1
Isl1	Iapp
Isl1	Ins1
Isl1	Ins2
Isl1	Insm1
Isl1	Kcnip1
Isl1	Kcnmb2
Isl1	Kcnu1
Isl1	Lats2
Isl1	Lgi1
Isl1	Lrrn1
Isl1	Mageh1
Isl1	Mapk8ip2
Isl1	Mapkap1
Isl1	Mdm1
Isl1	Mnx1
Isl1	Mpp3
Isl1	Mtmr7
Isl1	Myt1
Isl1	Nap1l2
Isl1	Nap1l3
Isl1	Nap1l5
Isl1	Neurod1
Isl1	Neurog3
Isl1	Nkx2-2
Isl1	Nkx6-1
Isl1	Nrsn1
Isl1	Nsun4
Isl1	Nucb2
Isl1	Orai1
Isl1	Oxtr
Isl1	Pax6
Isl1	Pbx3
Isl1	Pclo
Isl1	Pcsk1
Isl1	Pcsk1n
Isl1	Pcsk2
Isl1	Pdia6
Isl1	Pdx1
Isl1	Pdyn
Isl1	Peg3
Isl1	Pex26
Isl1	Pex5l
Isl1	Pnlip
Isl1	Pnliprp1
Isl1	Pnliprp2
Isl1	Ppy
Isl1	Prkar1b
Isl1	Prss2
Isl1	Prss3
Isl1	Ptf1a
Isl1	Ptprn
Isl1	Ptprn2
Isl1	Pycr1
Isl1	Pycr2
Isl1	Rab3d
Isl1	Rasgrf1
Isl1	Rcan3
Isl1	Reg1
Isl1	Reg3d
Isl1	Resp18
Isl1	Ret
Isl1	Rgs7
Isl1	Rims2
Isl1	Rnase1
Isl1	Rpn1
Isl1	Rundc3a
Isl1	Runx1t1
Isl1	Scg2
Isl1	Scg3
Isl1	Scg5
Isl1	Scgn
Isl1	Scn9a
Isl1	Sec61b
Isl1	Serpini2
Isl1	Sez6l
Isl1	Sez6l2
Isl1	Slc16a1
Isl1	Slc25a14
Isl1	Slc29a4
Isl1	Slc2a5
Isl1	Slc35b1
Isl1	Slc38a5
Isl1	Slc4a10
Isl1	Smarca1
Isl1	Snap25
Isl1	Spc25
Isl1	Spock1
Isl1	Srrm3
Isl1	Sst
Isl1	Sstr3
Isl1	St8sia3
Isl1	Stmn3
Isl1	Synpr
Isl1	Syp
Isl1	Syt13
Isl1	Syt4
Isl1	Syt7
Isl1	Syt9
Isl1	Sytl4
Isl1	T2
Isl1	Th
Isl1	Tm4sf4
Isl1	Tmed11
Isl1	Tmed6
Isl1	Tmed8
Isl1	Tmem27
Isl1	Trpm5
Isl1	Tssc4
Isl1	Ttr
Isl1	Ufc1
Isl1	Usp29
Isl1	Wbp5
Isl1	Yipf2
Isl1	Zcchc18
Isl1	Zdhhc2
Isl1	1500015A07Rik
Isl1	1700086L19Rik
Isl1	1810010K12Rik
Isl1	1810018F18Rik
Isl1	1810028F09Rik
Isl1	1810053B23Rik
Isl1	1810058N05Rik
Isl1	1810073G21Rik
Isl1	2210019I11Rik
Isl1	2810037O22Rik
Isl1	2900001G08Rik
Isl1	4930488B01Rik
Isl1	4930579K19Rik
Isl1	5430439G13Rik
Isl1	9330182L06Rik
Isl1	A230051N06Rik
Isl1	A330008L17Rik
Isl1	A330076H08Rik
Isl1	A930009E05Rik
Isl1	Aldh1l2
Isl1	Arhgap36
Isl1	Asphd1
Isl1	B630019K06Rik
Isl1	B830017H08Rik
Isl1	Bai3
Isl1	BB187676
Isl1	BB319198
Isl1	Brsk2
Isl1	C030034E14Rik
Isl1	C2cd4b
Isl1	C2cd4c
Isl1	C630004H02Rik
Isl1	Cdh7
Isl1	Celf3
Isl1	Celf6
Isl1	Cerkl
Isl1	Copg
Isl1	Ctxn2
Isl1	Cxxc4
Isl1	D10Bwg1379e
Isl1	Dbpht2
Isl1	Disp2
Isl1	E530001K10Rik
Isl1	Efcab1
Isl1	Entpd3
Isl1	Epb4.1l4b
Isl1	Etv1
Isl1	Fam101a
Isl1	Fam155a
Isl1	Fam159b
Isl1	Fam171b
Isl1	Fam183b
Isl1	Fam190a
Isl1	Fbxl16
Isl1	Gm15663
Isl1	Gm17733
Isl1	Gm19451
Isl1	Gm3924
Isl1	Gm5126
Isl1	Hapln4
Isl1	Hist1h4j
Isl1	Hmgcll1
Isl1	Hs3st6
